,Unnamed: 0,INCOME,IDPERSON,ID13,ID11
3857,64260,26460.0,94904020103,3,1
3858,161132,18670.0,273202121101,3,1
3859,52134,199460.0,90401011102,1,1
3860,148635,52750.0,270706060101,3,1
3861,38989,188900.0,80607170105,4,1
3862,83357,83170.0,160105090902,5,7
3863,54057,44030.0,90601041203,3,2
3864,100428,26524.0,201201051204,2,2
3865,160960,194000.0,273110140101,3,1
3866,189017,120000.0,300101080202,3,1
3867,61210,40260.0,94003110102,3,1
3868,48071,36444.0,82602092101,5,1
3869,131919,294900.0,232806020104,3,1
3870,114648,76180.0,220201102103,3,2
3871,70417,104400.0,96701071101,3,1
3872,112138,23000.0,212102021203,4,1
3873,192150,169000.0,320702161105,3,2
3874,135507,11100.0,234404041102,3,1
3875,194451,77400.0,321101042103,3,3
3876,14754,570300.0,30709061101,2,4
3877,100345,514000.0,200210090905,2,1
3878,172122,9700.0,290302040103,3,1
3879,177482,79300.0,291214050301,5,1
3880,174129,110600.0,290701200111,5,1
3881,113815,63500.0,212801120105,4,1
3882,117469,41582.0,220904102103,3,1
3883,175321,5700.0,290904120103,3,1
3884,165400,348000.0,280602120102,4,1
3885,177393,41700.0,291213010101,5,1
3886,55557,1046270.0,91405150105,3,1
3887,63018,196000.0,94602100107,4,1
3888,49140,66000.0,83002070101,2,2
3889,57423,12610.0,92304160202,3,1
3890,39958,94505.0,80706030102,3,1
3891,166317,108800.0,281304051101,3,1
3892,32405,56000.0,70701010101,4,1
3893,191666,400800.0,320603060104,2,1
3894,68550,41337.0,96501150107,3,1
3895,198451,120000.0,330602060102,3,1
3896,61555,54580.0,94203090103,4,1
3897,130488,147400.0,232507190106,3,1
3898,138663,46000.0,240802021101,4,1
3899,86766,91880.0,180610050104,2,2
3900,70591,28480.0,96701241105,3,1
3901,122808,38200.0,230802061202,4,1
3902,100902,32400.0,201205010104,3,1
3903,59452,136000.0,92904180116,3,1
3904,48139,14180.0,82602173105,5,1
3905,7936,176500.0,20602061204,3,1
3906,11973,112900.0,30203021102,4,4
3907,26975,482800.0,60907010102,2,1
3908,133138,29682.0,233505021104,4,1
3909,94361,400000.0,190910020103,1,1
3910,77433,125600.0,102702131101,2,2
3911,4011,328518.0,11314140101,1,1
3912,174562,105200.0,290706150104,3,2
3913,106295,17950.0,210607040104,5,1
3914,6561,142320.0,20501121103,4,1
3915,21167,46650.0,51203151106,3,2
3916,31850,64500.0,70105130104,2,1
3917,3440,522000.0,11306110101,2,6
3918,29707,43560.0,61803061111,3,2
3919,121314,286500.0,230208080106,3,1
3920,123587,96560.0,230902162101,3,1
3921,134997,28221.0,234103130203,5,1
3922,135137,9630.0,234202061102,3,1
3923,157923,32400.0,272703083103,4,1
3924,118424,121100.0,221006011101,3,1
3925,32333,239600.0,70401080107,1,1
3926,102502,7700.0,201403110203,5,3
3927,85328,49900.0,180207120102,2,2
3928,144791,200000.0,242204050104,1,1
3929,6200,134900.0,20406190301,1,1
3930,16775,179300.0,31105011104,4,4
3931,10794,461850.0,30101061111,2,3
3932,193913,40300.0,321002111103,2,1
3933,186567,68930.0,292533061102,3,1
3934,46447,73500.0,82102100102,3,1
3935,95738,35844.0,191007070103,2,1
3936,173256,57100.0,290534031102,2,2
3937,11598,487000.0,30111060106,2,1
3938,73613,36500.0,100507150303,3,1
3939,183402,110500.0,292006090901,3,1
3940,173526,229460.0,290536131105,5,1
3941,103126,334000.0,201414060104,2,1
3942,121626,19478.0,230501081103,3,1
3943,172321,117500.0,290304060205,3,2
3944,116067,110000.0,220408050101,1,1
3945,178611,64415.0,291503150103,3,1
3946,116962,140740.0,220901022102,3,1
3947,172954,164000.0,290507090103,4,3
